ID,Posted at,Screen name,Text
813853047252074496,2016-12-27 21:04:21 +0000,WhiteHouse,"""She had no idea that President Obama was about to call her."" See the top White House videos of the last 8 years:… https://t.co/Cm823KZqES"
813840123339141120,2016-12-27 20:13:00 +0000,WhiteHouse,"RT @letsmove: Students, teachers, and parents write @FLOTUS letters from across the country that show the impact of #LetsMove: https://t.co/zsDHzq4mUZ"
813823861615656961,2016-12-27 19:08:23 +0000,WhiteHouse,"Stonehenge ✓
@Lin_Manuel ✓
Marshmallow cannon ✓

Watch our favorite White House videos from the last 8 years:… https://t.co/kZp78pQoyp"
813815202424692736,2016-12-27 18:33:58 +0000,WhiteHouse,.@POTUS's filmmakers choose their favorite videos from the last eight years. Watch the top picks:… https://t.co/a76UWmlwYu
813484199864893440,2016-12-26 20:38:41 +0000,WhiteHouse,"""In this holiday season, Michelle and I send our best wishes to those celebrating Kwanzaa."" —@POTUS https://t.co/txW4XcQZAg"
813440491182178304,2016-12-26 17:45:00 +0000,WhiteHouse,“We wish you and your family a happy and healthy 2017.” —@FLOTUS and @POTUS this holiday season https://t.co/DMIoyKIEOf
813432883981549572,2016-12-26 17:14:47 +0000,WhiteHouse,"ICYMI: As President, @POTUS has used the internet to engage with the American people in new & meaningful ways:… https://t.co/3b1XG1Re7G"
813074525990555648,2016-12-25 17:30:47 +0000,WhiteHouse,RT @FLOTUS: May your home be filled with peace and joy. Merry Christmas! https://t.co/ZfJKus2SsV
813072868141629442,2016-12-25 17:24:12 +0000,WhiteHouse,"RT @VP: Merry Christmas from all the Bidens. For all those troops serving abroad, away from their families today, know that… https://t.co/A75Yijujf8"
813059895167688704,2016-12-25 16:32:39 +0000,WhiteHouse,"RT @POTUS: The best part of the holidays is the time we share with those we love. On behalf of Michelle, Malia, and Sasha, Mer… https://t.co/AOai9bJYlg"
813043530356715520,2016-12-25 15:27:37 +0000,WhiteHouse,Wishing you love and laughter this Christmas. https://t.co/BRUwarTvds
812848873161052161,2016-12-25 02:34:08 +0000,WhiteHouse,"RT @FLOTUS: ""I'm detecting something on the radar screen. Yes, it's Santa! -The First Lady answering the annual @NoradSanta call https://t.co/oIYhhrnn59"
812769929757917184,2016-12-24 21:20:26 +0000,WhiteHouse,Join @POTUS and @FLOTUS in honoring America’s service members and their families: https://t.co/i3BJMLP3oH https://t.co/DMIoyKr3WH
812761572166795264,2016-12-24 20:47:13 +0000,WhiteHouse,"""Together, we fought our way back from the worst recession in 80 years, & got unemployment to a 9-year low."" —@POTUS https://t.co/DMIoyKr3WH"
812739096833622016,2016-12-24 19:17:55 +0000,WhiteHouse,"""On behalf of all the Obamas—Michelle, Malia, Sasha, Bo, and that troublemaker Sunny—Merry Christmas"" —@POTUS https://t.co/DMIoyKr3WH"
812705877224366081,2016-12-24 17:05:55 +0000,WhiteHouse,".@FLOTUS: ""Barack has treated the American people to countless dad jokes.""
 
@POTUS: ""A few got a…Frosty reception."" https://t.co/DMIoyKIEOf"
812695636638388224,2016-12-24 16:25:13 +0000,WhiteHouse,Happy Hanukkah and Chag Sameach from @POTUS and @FLOTUS! https://t.co/8rzvVCCXQR https://t.co/TvGI6PuT4T
812680231974764545,2016-12-24 15:24:00 +0000,WhiteHouse,Merry Christmas from @POTUS and @FLOTUS! https://t.co/DMIoyKr3WH
812669431130296321,2016-12-24 14:41:05 +0000,WhiteHouse,RT @NoradSanta: We are live at the NORAD Tracks Santa Operations Center. Start calling in now. #NORADTracksSanta https://t.co/tpeQDNS0Zj
812663445552300032,2016-12-24 14:17:18 +0000,WhiteHouse,Watch @POTUS and @FLOTUS give their last holiday message from the White House: https://t.co/DMIoyKr3WH
812420058307825664,2016-12-23 22:10:10 +0000,WhiteHouse,Read a statement from @USUN on today’s UNSCR resolution. https://t.co/Sg7thZxLPK
812341803768840192,2016-12-23 16:59:13 +0000,WhiteHouse,"As the first ""social media president,"" @POTUS has prioritized meeting people where we already spend our time:… https://t.co/mHSIlLXMHk"
812330175501402112,2016-12-23 16:13:00 +0000,WhiteHouse,"The ""first social media @POTUS"": a look at some of President Obama’s top digital moments → https://t.co/q15g7TkUIo https://t.co/PAkRiF7IJj"
812061327384408064,2016-12-22 22:24:42 +0000,WhiteHouse,"Last year, @POTUS visited the Arctic to see the impact of climate change. This week, he took historic steps to prot… https://t.co/RUbdP0BBtr"
812052442682630144,2016-12-22 21:49:24 +0000,WhiteHouse,RT @kerrywashington: Thank you @POTUS for making diaper need one of your final priorities. I proudly stand with… https://t.co/A8X3XlvL1h https://t.co/wtRBMJ1QqN
812015257455566853,2016-12-22 19:21:38 +0000,WhiteHouse,Find out what @POTUS is doing to close the #DiaperGap: https://t.co/egtN95BQUQ https://t.co/72OQSDEzkj
811976651324137472,2016-12-22 16:48:14 +0000,WhiteHouse,RT @Abramson44: Watch some #TBT stories from pre #ACA to see why affordable #CoverageMatters: https://t.co/ZL3siyHMjp and #GetCovered by Jan 31 for 2017!
811972400204181505,2016-12-22 16:31:20 +0000,WhiteHouse,RT @CEAChair: U.S. economy is now 11.6% larger than its pre-crisis peak in 2007 amid its strong recovery from the Great Recession https://t.co/4ARj2qdiKA
811963852304879617,2016-12-22 15:57:22 +0000,WhiteHouse,"Thanks to @POTUS, diapers are now more accessible and affordable for all Americans: https://t.co/w3rxniHZ4N https://t.co/WKzrqwtKV2"
811708852974587904,2016-12-21 23:04:06 +0000,WhiteHouse,RT @ks44: A nice look back at 8 years of YouTube interviews with @POTUS & inviting citizens to engage online over the years: https://t.co/diF8tdzPxx
811701840245063680,2016-12-21 22:36:14 +0000,WhiteHouse,"RT @wethepeople: We the People has had a remarkable run: 
~20K signatures/day  ✓
40M signatures total  ✓

Here's what's next for us: https://t.co/tFbEK7XGzv"
811695529507823616,2016-12-21 22:11:09 +0000,WhiteHouse,RT @Goldman44: Petitions on @wethepeople have garnered over 40M signatures – some updates on where the platform goes next. https://t.co/JTapFIcoBn
811693003182116864,2016-12-21 22:01:07 +0000,WhiteHouse,Get a behind-the-scenes look at how some of @POTUS's top speeches came together: https://t.co/q15g7TkUIo https://t.co/oIYCo5rAJy
